Ranking,Name,Position,ClubCode,Nationality,DOB,Contract Expiry,Value,weekly Salary,Goals,Goal Bonus,Sponsor
1,Lionel Messi,Forward,BAR,Argentina,24/06/1987,01/06/2016,85000000,175000,55,5000.5,Yes
2,Cristiano Ronaldo,Forward,RMA,Portugal,05/02/1985,01/06/2016,80000000,175000,60,6000.75,Yes
3,Xavi,Midfielder,BAR,Spain,25/01/1980,01/06/2017,20000000,100000,2,1000,No
4,Andres Iniesta,Midfielder,BAR,Spain,11/05/1984,01/06/2017,20000000,90000,5,1000.1,No
6,Radamel Falcao,Forward,ATM,Colombia,10/02/1986,01/06/2019,50000000,100000,37,6000.75,No
7,Robin van Persie,Forward,MUT,Netherlands,06/08/1983,01/06/2016,25000000,130000,34,5000,No
8,Andrea Pirlo,Midfielder,JUV,Italy,19/05/1979,01/06/2016,20000000,140000,1,6000.75,No
9,Yaya Toure,Midfielder,MCI,Ivory Coast,13/05/1983,01/06/2017,30000000,120000,10,1000,No
11,Sergio Aguero,Forward,MCI,Argentina,02/06/1988,01/06/2017,40000000,130000,25,5000.5,No
12,Iker Casillas,Goalkeeper,RMA,Spain,20/05/1981,01/06/2019,10000000,140000,0,6000,No
14,Sergio Busquets,midfielder,BAR,Spain,16/07/1988,01/06/2016,22000000,70000,0,5000.5,No
15,Xabi Alonso,Midfielder,RMA,Spain,25/11/1988,01/06/2017,12000000,800000,0,6000,No
17,Mesut Ozil,Midfielder,RMA,Germany,15/10/1988,01/06/2017,40000000,130000,5,6000.75,No
18,David Silva,Midfielder,MCI,Spain,08/01/1986,01/06/2016,30000000,120000,10,1000.1,No
19,Bastian Schweinsteiger,Midfielder,BAM,Germany,01/08/1984,01/06/2019,30000000,160000,3,1000,No
20,Gianluigi Buffon,Goalkeeper,JUV,Italy,28/01/1978,01/06/2016,10000000,50000,0,6000.75,Yes
22,Sergio Ramos,Defender,RMA,Spain,30/03/1986,01/06/2017,20000000,120000,0,1000,No
23,Vincent Kompany,Defender,MCI,Belgium,10/04/1986,01/06/2017,23000000,160000,0,5000.5,No
24,Gerard Pique,Defender,BAR,Spain,02/02/1987,01/06/2019,26000000,150000,0,6000.75,No
25,Philipp Lahm,Defender,BAM,Germany,11/11/1987,01/06/2016,21000000,130000,6,1000,No
28,Franck Ribery,Midfielder,BAM,France,07/04/1983,01/06/2017,40000000,120000,12,1000.1,No
29,Manuel Neuer,Goalkeeper,BAM,Germany,27/03/1986,01/06/2017,14000000,100000,0,1000,No
