Number,Name,Position,Club,Nationality,DOB,Contract Expiry,Value,weekly Salary,Goals,Goal Bonus,Clean Sheets,Bonus,Sponsor
1,Lionel Messi,Forward,Barcelona,Argentina,24/06/1987,01/06/2014,85000000,175000,55,5000,0,0,Yes
2,Cristiano Ronaldo,Forward,Real Madrid,Portugal,05/02/1985,01/06/2014,80000000,175000,60,6000,0,0,Yes
3,Xavi,Midfielder,Barcelona,Spain,25/01/1980,01/06/2015,20000000,100000,2,1000,0,0,No
4,Andres Iniesta,Midfielder,Barcelona,Spain,11/05/1984,01/06/2015,20000000,90000,5,1000,0,0,No
5,Zlatan Ibrahimovic,Forward,PSG,Sweden,03/10/1981,01/06/2017,55000000,150000,44,2000,0,0,No
6,Radamel Falcao,Forward,Atletico Madrid,Colombia,10/02/1986,01/06/2014,50000000,100000,37,4000,0,0,No
7,Robin van Persie,Forward,Man Utd,Netherlands,06/08/1983,01/06/2014,25000000,130000,34,5000,0,0,No
8,Andrea Pirlo,Midfielder,Juventus,Italy,19/05/1979,01/06/2014,20000000,140000,1,1000,0,0,No
9,Yaya Toure,Midfielder,Man City,Ivory Coast,13/05/1983,01/06/2015,30000000,120000,10,1000,0,0,No
10,Edinson Cavani,Forward,Napoli,Uruguay,14/02/1987,01/06/2015,50000000,120000,29,4000,0,0,Yes
11,Sergio Aguero,Forward,Man City,Argentina,02/06/1988,01/06/2017,40000000,130000,25,2000,0,0,No
12,Iker Casillas,Goalkeeper,Real Madrid,Spain,20/05/1981,01/06/2014,10000000,140000,0,1000,12,5000,No
13,Neymar,Forward,Santos,Brazil,05/02/1992,01/06/2014,50000000,178000,15,4000,0,0,No
14,Sergio Busquets,Defender/midfielder,Barcelona,Spain,16/07/1988,01/06/2014,22000000,70000,0,1000,0,0,No
15,Xabi Alonso,Midfielder,Real Madrid,Spain,25/11/1988,01/06/2015,12000000,800000,0,1000,0,0,No
16,Thiago Silva,Defender,PSG,Brazil,22/09/1984,01/06/2015,17000000,150000,0,1000,0,0,Yes
17,Mesut Ozil,Midfielder,Real Madrid,Germany,15/10/1988,01/06/2017,40000000,130000,5,1000,0,0,No
18,David Silva,Midfielder/forward,Man City,Spain,08/01/1986,01/06/2014,30000000,120000,10,2000,0,0,No
19,Bastian Schweinsteiger,Midfielder,Bayern Munich,Germany,01/08/1984,01/06/2014,30000000,160000,3,1000,0,0,No
20,Gianluigi Buffon,Goalkeeper,Juventus,Italy,28/01/1978,01/06/2014,10000000,50000,0,1000,14,3000,Yes
21,Luis Suarez,Forward,Liverpool,Uruguay,24/01/1987,01/06/2015,50000000,130000,22,2000,0,0,No
22,Sergio Ramos,Defender,Real Madrid,Spain,30/03/1986,01/06/2015,20000000,120000,0,1000,0,0,No
23,Vincent Kompany,Defender,Man City,Belgium,10/04/1986,01/06/2017,23000000,160000,0,1000,0,0,No
24,Gerard Pique,Defender,Barcelona,Spain,02/02/1987,01/06/2014,26000000,150000,0,1000,0,0,No
